Week 1,,,
Date,Time (ET),Away Team,Home Team
Thu Sep 8,8:20 PM,Buffalo Bills,Los Angeles Rams
Sun Sep 11,1:00 PM,Baltimore Ravens,New York Jets
,1:00 PM,Cleveland Browns,Carolina Panthers
,1:00 PM,Indianapolis Colts,Houston Texans
,1:00 PM,Jacksonville Jaguars,Washington Commanders
,1:00 PM,New England Patriots,Miami Dolphins
,1:00 PM,New Orleans Saints,Atlanta Falcons
,1:00 PM,Philadelphia Eagles,Detroit Lions
,1:00 PM,Pittsburgh Steelers,Cincinnati Bengals
,1:00 PM,San Francisco 49ers,Chicago Bears
,4:25 PM,Green Bay Packers,Minnesota Vikings
,4:25 PM,Kansas City Chiefs,Arizona Cardinals
,4:25 PM,Las Vegas Raiders,Los Angeles Chargers
,4:25 PM,New York Giants,Tennessee Titans
,8:20 PM,Tampa Bay Buccaneers,Dallas Cowboys
Mon Sep 12,8:15 PM,Denver Broncos,Seattle Seahawks
Week 2,,,
Date,Time (ET),Away Team,Home Team
Thu Sep 15,8:15 PM,Los Angeles Chargers,Kansas City Chiefs
Sun Sep 18,1:00 PM,Carolina Panthers,New York Giants
,1:00 PM,Indianapolis Colts,Jacksonville Jaguars
,1:00 PM,Miami Dolphins,Baltimore Ravens
,1:00 PM,New England Patriots,Pittsburgh Steelers
,1:00 PM,New York Jets,Cleveland Browns
,1:00 PM,Tampa Bay Buccaneers,New Orleans Saints
,1:00 PM,Washington Commanders,Detroit Lions
,4:05 PM,Atlanta Falcons,Los Angeles Rams
,4:05 PM,Seattle Seahawks,San Francisco 49ers
,4:25 PM,Arizona Cardinals,Las Vegas Raiders
,4:25 PM,Cincinnati Bengals,Dallas Cowboys
,4:25 PM,Houston Texans,Denver Broncos
,8:20 PM,Chicago Bears,Green Bay Packers
Mon Sep 19,7:15 PM,Tennessee Titans,Buffalo Bills
,8:30 PM,Minnesota Vikings,Philadelphia Eagles
Week 3,,,
Date,Time (ET),Away Team,Home Team
Thu Sep 22,8:15 PM,Pittsburgh Steelers,Cleveland Browns
Sun Sep 25,1:00 PM,Baltimore Ravens,New England Patriots
,1:00 PM,Buffalo Bills,Miami Dolphins
,1:00 PM,Cincinnati Bengals,New York Jets
,1:00 PM,Detroit Lions,Minnesota Vikings
,1:00 PM,Houston Texans,Chicago Bears
,1:00 PM,Kansas City Chiefs,Indianapolis Colts
,1:00 PM,Las Vegas Raiders,Tennessee Titans
,1:00 PM,New Orleans Saints,Carolina Panthers
,1:00 PM,Philadelphia Eagles,Washington Commanders
,4:05 PM,Jacksonville Jaguars,Los Angeles Chargers
,4:25 PM,Atlanta Falcons,Seattle Seahawks
,4:25 PM,Green Bay Packers,Tampa Bay Buccaneers
,4:25 PM,Los Angeles Rams,Arizona Cardinals
,8:20 PM,San Francisco 49ers,Denver Broncos
Mon Sep 26,8:15 PM,Dallas Cowboys,New York Giants
Week 4,,,
Date,Time (ET),Away Team,Home Team
Thu Sep 29,8:15 PM,Miami Dolphins,Cincinnati Bengals
Sun Oct 2,9:30 AM,Minnesota Vikings,New Orleans Saints
,1:00 PM,Buffalo Bills,Baltimore Ravens
,1:00 PM,Chicago Bears,New York Giants
,1:00 PM,Cleveland Browns,Atlanta Falcons
,1:00 PM,Jacksonville Jaguars,Philadelphia Eagles
,1:00 PM,Los Angeles Chargers,Houston Texans
,1:00 PM,New York Jets,Pittsburgh Steelers
,1:00 PM,Seattle Seahawks,Detroit Lions
,1:00 PM,Tennessee Titans,Indianapolis Colts
,1:00 PM,Washington Commanders,Dallas Cowboys
,4:05 PM,Arizona Cardinals,Carolina Panthers
,4:25 PM,Denver Broncos,Las Vegas Raiders
,4:25 PM,New England Patriots,Green Bay Packers
,8:20 PM,Kansas City Chiefs,Tampa Bay Buccaneers
Mon Oct 3,8:15 PM,Los Angeles Rams,San Francisco 49ers
ยน This game is being played in London.,,,
Week 5,,,
Date,Time (ET),Away Team,Home Team
Thu Oct 6,8:15 PM,Indianapolis Colts,Denver Broncos
Sun Oct 9,9:30 AM,New York Giants,Green Bay Packers
,1:00 PM,Atlanta Falcons,Tampa Bay Buccaneers
,1:00 PM,Chicago Bears,Minnesota Vikings
,1:00 PM,Detroit Lions,New England Patriots
,1:00 PM,Houston Texans,Jacksonville Jaguars
,1:00 PM,Los Angeles Chargers,Cleveland Browns
,1:00 PM,Miami Dolphins,New York Jets
,1:00 PM,Pittsburgh Steelers,Buffalo Bills
,1:00 PM,Seattle Seahawks,New Orleans Saints
,1:00 PM,Tennessee Titans,Washington Commanders
,4:05 PM,San Francisco 49ers,Carolina Panthers
,4:25 PM,Dallas Cowboys,Los Angeles Rams
,4:25 PM,Philadelphia Eagles,Arizona Cardinals
,8:20 PM,Cincinnati Bengals,Baltimore Ravens
Mon Oct 10,8:15 PM,Las Vegas Raiders,Kansas City Chiefs
ยน This game is being played in London.,,,
Week 6,,,
Date,Time (ET),Away Team,Home Team
Thu Oct 13,8:15 PM,Washington Commanders,Chicago Bears
Sun Oct 16,1:00 PM,Baltimore Ravens,New York Giants
,1:00 PM,Cincinnati Bengals,New Orleans Saints
,1:00 PM,Jacksonville Jaguars,Indianapolis Colts
,1:00 PM,Minnesota Vikings,Miami Dolphins
,1:00 PM,New England Patriots,Cleveland Browns
,1:00 PM,New York Jets,Green Bay Packers
,1:00 PM,San Francisco 49ers,Atlanta Falcons
,1:00 PM,Tampa Bay Buccaneers,Pittsburgh Steelers
,4:05 PM,Arizona Cardinals,Seattle Seahawks
,4:05 PM,Carolina Panthers,Los Angeles Rams
,4:25 PM,Buffalo Bills,Kansas City Chiefs
,8:20 PM,Dallas Cowboys,Philadelphia Eagles
Mon Oct 17,8:15 PM,Denver Broncos,Los Angeles Chargers
"Bye: Detroit, Houston, Las Vegas, Tennessee",,,
Week 7,,,
Date,Time (ET),Away Team,Home Team
Thu Oct 20,8:15 PM,New Orleans Saints,Arizona Cardinals
Sun Oct 23,1:00 PM,Atlanta Falcons,Cincinnati Bengals
,1:00 PM,Cleveland Browns,Baltimore Ravens
,1:00 PM,Detroit Lions,Dallas Cowboys
,1:00 PM,Green Bay Packers,Washington Commanders
,1:00 PM,Indianapolis Colts,Tennessee Titans
,1:00 PM,New York Giants,Jacksonville Jaguars
,1:00 PM,Tampa Bay Buccaneers,Carolina Panthers
,4:05 PM,Houston Texans,Las Vegas Raiders
,4:05 PM,New York Jets,Denver Broncos
,4:25 PM,Kansas City Chiefs,San Francisco 49ers
,4:25 PM,Seattle Seahawks,Los Angeles Chargers
,8:20 PM,Pittsburgh Steelers,Miami Dolphins
Mon Oct 24,8:15 PM,Chicago Bears,New England Patriots
"Bye: Buffalo, L.A. Rams, Minnesota, Philadelphia",,,
Week 8,,,
Date,Time (ET),Away Team,Home Team
Thu Oct 27,8:15 PM,Baltimore Ravens,Tampa Bay Buccaneers
Sun Oct 30,9:30 AM,Denver Broncos,Jacksonville Jaguars
,1:00 PM,Arizona Cardinals,Minnesota Vikings
,1:00 PM,Carolina Panthers,Atlanta Falcons
,1:00 PM,Chicago Bears,Dallas Cowboys
,1:00 PM,Las Vegas Raiders,New Orleans Saints
,1:00 PM,Miami Dolphins,Detroit Lions
,1:00 PM,New England Patriots,New York Jets
,1:00 PM,Pittsburgh Steelers,Philadelphia Eagles
,4:05 PM,Tennessee Titans,Houston Texans
,4:25 PM,New York Giants,Seattle Seahawks
,4:25 PM,San Francisco 49ers,Los Angeles Rams
,4:25 PM,Washington Commanders,Indianapolis Colts
,8:20 PM,Green Bay Packers,Buffalo Bills
Mon Oct 31,8:15 PM,Cincinnati Bengals,Cleveland Browns
"ยน This game is being played in London.

 Bye: Kansas City, L.A. Chargers",,,
Week 9,,,
Date,Time (ET),Away Team,Home Team
Thu Nov 3,8:15 PM,Philadelphia Eagles,Houston Texans
Sun Nov 6,1:00 PM,Buffalo Bills,New York Jets
,1:00 PM,Carolina Panthers,Cincinnati Bengals
,1:00 PM,Green Bay Packers,Detroit Lions
,1:00 PM,Indianapolis Colts,New England Patriots
,1:00 PM,Las Vegas Raiders,Jacksonville Jaguars
,1:00 PM,Los Angeles Chargers,Atlanta Falcons
,1:00 PM,Miami Dolphins,Chicago Bears
,1:00 PM,Minnesota Vikings,Washington Commanders
,4:05 PM,Seattle Seahawks,Arizona Cardinals
,4:25 PM,Los Angeles Rams,Tampa Bay Buccaneers
,8:20 PM,Tennessee Titans,Kansas City Chiefs
Mon Nov 7,8:15 PM,Baltimore Ravens,New Orleans Saints
"Bye: Cleveland, Dallas, Denver, N.Y. Giants, Pittsburgh, San Francisco",,,
Week 10,,,
Date,Time (ET),Away Team,Home Team
Thu Nov 10,8:15 PM,Atlanta Falcons,Carolina Panthers
Sun Nov 13,9:30 AM,Seattle Seahawks,Tampa Bay Buccaneers
,1:00 PM,Cleveland Browns,Miami Dolphins
,1:00 PM,Denver Broncos,Tennessee Titans
,1:00 PM,Detroit Lions,Chicago Bears
,1:00 PM,Houston Texans,New York Giants
,1:00 PM,Jacksonville Jaguars,Kansas City Chiefs
,1:00 PM,Minnesota Vikings,Buffalo Bills
,1:00 PM,New Orleans Saints,Pittsburgh Steelers
,4:05 PM,Indianapolis Colts,Las Vegas Raiders
,4:25 PM,Arizona Cardinals,Los Angeles Rams
,4:25 PM,Dallas Cowboys,Green Bay Packers
,8:20 PM,Los Angeles Chargers,San Francisco 49ers
Mon Nov 14,8:15 PM,Washington Commanders,Philadelphia Eagles
"ยน This game is being played in Munich.

 Bye: Baltimore, Cincinnati, New England, N.Y. Jets",,,
Week 11,,,
Date,Time (ET),Away Team,Home Team
Thu Nov 17,8:15 PM,Tennessee Titans,Green Bay Packers
Sun Nov 20,1:00 PM,Carolina Panthers,Baltimore Ravens
,1:00 PM,Chicago Bears,Atlanta Falcons
,1:00 PM,Cleveland Browns,Buffalo Bills
,1:00 PM,Detroit Lions,New York Giants
,1:00 PM,Los Angeles Rams,New Orleans Saints
,1:00 PM,New York Jets,New England Patriots
,1:00 PM,Philadelphia Eagles,Indianapolis Colts
,1:00 PM,Washington Commanders,Houston Texans
,4:05 PM,Las Vegas Raiders,Denver Broncos
,4:25 PM,Dallas Cowboys,Minnesota Vikings
,4:25 PM,Kansas City Chiefs,Los Angeles Chargers
,8:20 PM,Cincinnati Bengals,Pittsburgh Steelers
Mon Nov 21,8:00 PM,San Francisco 49ers,Arizona Cardinals
"Bye: Jacksonville, Miami, Seattle, Tampa Bay",,,
Week 12,,,
Date,Time (ET),Away Team,Home Team
Thu Nov 24,12:30 PM,Buffalo Bills,Detroit Lions
,4:30 PM,New York Giants,Dallas Cowboys
,8:20 PM,New England Patriots,Minnesota Vikings
Sun Nov 27,1:00 PM,Atlanta Falcons,Washington Commanders
,1:00 PM,Baltimore Ravens,Jacksonville Jaguars
,1:00 PM,Chicago Bears,New York Jets
,1:00 PM,Cincinnati Bengals,Tennessee Titans
,1:00 PM,Denver Broncos,Carolina Panthers
,1:00 PM,Houston Texans,Miami Dolphins
,1:00 PM,Tampa Bay Buccaneers,Cleveland Browns
,4:05 PM,Las Vegas Raiders,Seattle Seahawks
,4:05 PM,Los Angeles Chargers,Arizona Cardinals
,4:25 PM,Los Angeles Rams,Kansas City Chiefs
,4:25 PM,New Orleans Saints,San Francisco 49ers
,8:20 PM,Green Bay Packers,Philadelphia Eagles
Mon Nov 28,8:15 PM,Pittsburgh Steelers,Indianapolis Colts
Week 13,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 1,8:15 PM,Buffalo Bills,New England Patriots
Sun Dec 4,1:00 PM,Cleveland Browns,Houston Texans
,1:00 PM,Denver Broncos,Baltimore Ravens
,1:00 PM,Green Bay Packers,Chicago Bears
,1:00 PM,Jacksonville Jaguars,Detroit Lions
,1:00 PM,New York Jets,Minnesota Vikings
,1:00 PM,Pittsburgh Steelers,Atlanta Falcons
,1:00 PM,Tennessee Titans,Philadelphia Eagles
,1:00 PM,Washington Commanders,New York Giants
,4:05 PM,Miami Dolphins,San Francisco 49ers
,4:05 PM,Seattle Seahawks,Los Angeles Rams
,4:25 PM,Kansas City Chiefs,Cincinnati Bengals
,4:25 PM,Los Angeles Chargers,Las Vegas Raiders
,8:20 PM,Indianapolis Colts,Dallas Cowboys
Mon Dec 5,8:15 PM,New Orleans Saints,Tampa Bay Buccaneers
"Bye: Arizona, Carolina",,,
Week 14,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 8,8:15 PM,Las Vegas Raiders,Los Angeles Rams
Sun Dec 11,1:00 PM,Baltimore Ravens,Pittsburgh Steelers
,1:00 PM,Cleveland Browns,Cincinnati Bengals
,1:00 PM,Houston Texans,Dallas Cowboys
,1:00 PM,Jacksonville Jaguars,Tennessee Titans
,1:00 PM,Minnesota Vikings,Detroit Lions
,1:00 PM,New York Jets,Buffalo Bills
,1:00 PM,Philadelphia Eagles,New York Giants
,4:05 PM,Miami Dolphins,Los Angeles Chargers
,4:25 PM,Carolina Panthers,Seattle Seahawks
,4:25 PM,Tampa Bay Buccaneers,San Francisco 49ers
,8:20 PM,Kansas City Chiefs,Denver Broncos
Mon Dec 12,8:15 PM,New England Patriots,Arizona Cardinals
"Bye: Atlanta, Chicago, Green Bay, Indianapolis, New Orleans, Washington",,,
Week 15,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 15,8:15 PM,San Francisco 49ers,Seattle Seahawks
Sun Dec 18,1:00 PM,Atlanta Falcons,New Orleans Saints
,1:00 PM,Baltimore Ravens,Cleveland Browns
,1:00 PM,Dallas Cowboys,Jacksonville Jaguars
,1:00 PM,Detroit Lions,New York Jets
,1:00 PM,Indianapolis Colts,Minnesota Vikings
,1:00 PM,Kansas City Chiefs,Houston Texans
,1:00 PM,Miami Dolphins,Buffalo Bills
,1:00 PM,New York Giants,Washington Commanders
,1:00 PM,Philadelphia Eagles,Chicago Bears
,1:00 PM,Pittsburgh Steelers,Carolina Panthers
,4:05 PM,Arizona Cardinals,Denver Broncos
,4:25 PM,Cincinnati Bengals,Tampa Bay Buccaneers
,4:25 PM,Tennessee Titans,Los Angeles Chargers
,8:20 PM,New England Patriots,Las Vegas Raiders
Mon Dec 19,8:15 PM,Los Angeles Rams,Green Bay Packers
"* Tentative flex schedule game, start time is subject to change.",,,
Week 16,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 22,8:15 PM,Jacksonville Jaguars,New York Jets
Sat Dec 24,1:00 PM,Atlanta Falcons,Baltimore Ravens
,1:00 PM,Buffalo Bills,Chicago Bears
,1:00 PM,Cincinnati Bengals,New England Patriots
,1:00 PM,Detroit Lions,Carolina Panthers
,1:00 PM,Houston Texans,Tennessee Titans
,1:00 PM,New Orleans Saints,Cleveland Browns
,1:00 PM,New York Giants,Minnesota Vikings
,1:00 PM,Seattle Seahawks,Kansas City Chiefs
,4:05 PM,Washington Commanders,San Francisco 49ers
,4:25 PM,Philadelphia Eagles,Dallas Cowboys
,8:15 PM,Las Vegas Raiders,Pittsburgh Steelers
Sun Dec 25,1:00 PM,Green Bay Packers,Miami Dolphins
,4:30 PM,Denver Broncos,Los Angeles Rams
,8:20 PM,Tampa Bay Buccaneers,Arizona Cardinals
Mon Dec 26,8:15 PM,Los Angeles Chargers,Indianapolis Colts
"* Tentative flex schedule game, start time is subject to change.",,,
Week 17,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 29,8:15 PM,Dallas Cowboys,Tennessee Titans
Sat Jan 1,1:00 PM,Arizona Cardinals,Atlanta Falcons
,1:00 PM,Carolina Panthers,Tampa Bay Buccaneers
,1:00 PM,Chicago Bears,Detroit Lions
,1:00 PM,Cleveland Browns,Washington Commanders
,1:00 PM,Denver Broncos,Kansas City Chiefs
,1:00 PM,Indianapolis Colts,New York Giants
,1:00 PM,Jacksonville Jaguars,Houston Texans
,1:00 PM,Miami Dolphins,New England Patriots
,1:00 PM,New Orleans Saints,Philadelphia Eagles
,1:00 PM,Pittsburgh Steelers,Baltimore Ravens
,4:05 PM,New York Jets,Seattle Seahawks
,4:05 PM,San Francisco 49ers,Las Vegas Raiders
,4:25 PM,Minnesota Vikings,Green Bay Packers
,8:20 PM,Los Angeles Rams,Los Angeles Chargers
Sun Jan 2,8:30 PM,Buffalo Bills,Cincinnati Bengals
Week 18,,,
Date,Time (ET),Away Team,Home Team
Sat Jan 8,1:00 PM,Arizona Cardinals,San Francisco 49ers
,1:00 PM,Baltimore Ravens,Cincinnati Bengals
,1:00 PM,Carolina Panthers,New Orleans Saints
,1:00 PM,Cleveland Browns,Pittsburgh Steelers
,1:00 PM,Dallas Cowboys,Washington Commanders
,1:00 PM,Detroit Lions,Green Bay Packers
,1:00 PM,Houston Texans,Indianapolis Colts
,1:00 PM,Kansas City Chiefs,Las Vegas Raiders
,1:00 PM,Los Angeles Chargers,Denver Broncos
,1:00 PM,Los Angeles Rams,Seattle Seahawks
,1:00 PM,Minnesota Vikings,Chicago Bears
,1:00 PM,New England Patriots,Buffalo Bills
,1:00 PM,New York Giants,Philadelphia Eagles
,1:00 PM,New York Jets,Miami Dolphins
,1:00 PM,Tampa Bay Buccaneers,Atlanta Falcons
,1:00 PM,Tennessee Titans,Jacksonville Jaguars